@37540  = ~I would like you to join us again, Haer'Dalis.《我希望你再加入我們，海爾達利。》~
@37703  = ~You knew of no such evidence? <CHARNAME>, you have just turned an unfortunate mistake into a fundamental wrong! I see through your falsehood!《你完全不知情？<CHARNAME>，你剛剛才把一件不幸的錯誤變成一個重大的罪過！我可以看穿你的虛偽！》~
@37704  = ~You supported the baron despite the accusations against him, and now you have demonstrated complicity with his evil by lying to me! This I cannot ignore.《儘管有人指控男爵，你還是支持他，如今你又對我說謊，成為邪惡的共犯！這點我無法視而不見。》~
@37705  = ~You are hereby removed from the Most Noble Order of the Radiant Heart. You are a paladin without a patron, relieved of any service we might have required.《從此之後你將被逐出至熱之心騎士團。你成為一位無主的聖武士，不必再為我們服務。》~
@37706  = ~You are disgraced in the eyes of the Order. Do not return to my sight.《在騎士團的眼中你的行為不端。不要再進入我的視線之中。》~ [DEMSON08]
@37707  = ~It would seem they were merely farmers, and that they thought themselves defending their claim to lands that the baron was trying to steal.《他們似乎只是農民，而且他們認為自己是在捍衛男爵想要從他們那裡侵佔的土地。》~
@37708  = ~You were to restore order, not assist a despot in killing farmers. No, you have not demonstrated an understanding of what proper conduct for a paladin should be.《你是前去恢復秩序，而不是幫一位暴居屠殺遊民。不，我完全看不出你瞭解一位聖武士的正確行為應該是什麼樣子。》~
@37709  = ~There was evidence of that, but my duty was to the task I was sent to achieve. 《是有證據，但是我的職責是完成我奉派的任務。》~
@37710  = ~I... knew of no such evidence. The squatters were quite clearly belligerent.《我……不知道這種證據。》~
@37711  = ~Word has come to me that the baron is a highly suspect character, and perhaps our assisting him was in the wrong. Doubly so now that it ended in such a way.《有人告訴我男爵這個人十分可疑，也許我們幫助他是錯的。現在事情如此落幕更是錯上加錯。》~
@37712  = ~I did. His claim was a lie. The "squatters" were farmers on land he wished to steal.《我有。他的說辭是個謊言。所謂的「遊民」只不過是他想要侵佔的農民而已。》~
@37713  = ~He deserved no less. He went berserk after I revealed his theft of the land.《這是他應得的下場。當我揭發他侵佔土地時，他狂怒不已。》~
@37714  = ~Then we will stand by you. If what you say is true, and I am confident that it is, then we have done a service to the land despite the confusion it will bring.《那麼我們會站在你這一邊。如果你說的是事實，而我也相信這是實情，那麼儘管這件事會帶來紛亂，我們還是為這片土地做了一件好事。》~
@37715  = ~You will have no time to experience any unrest, however, as we have a vital mission for you that must take precedence over all else.《不過，你沒有任何時間喘息了，因為我們有一項極為重要的任務要你進行，這件任務重於一切。》~
@37716  = ~None were innocent. I purged them all that their taint would be removed.《沒有人死有餘辜。我洗淨了他們身上所有的污點。》~
@37717  = ~It was unavoidable. Unfortunate, but unavoidable.《這是無可避免的。很不幸，但是無可避免。》~
@37718  = ~You were to restore order, not kill everyone without question. No, you have not shown an understanding of what proper conduct for the Order should be.《你是前去恢復秩序，而不是濫殺無辜。不，我想你完全不瞭解騎士團的正確行為應是如何。》~
@37719  = ~We have received word of a great atrocity, one that must not be completed. There has been... murder is too weak a word. An entire family has been decimated.《我們得知發生了一件極為殘忍的事，這實在不該發生。說是謀殺也許還不足以描述這件事。一個家族殘遭滅門。》~
@37720  = ~The Athkatla Morningales have been a model of decency in this city, and their work in opposing the slave trade has earned them renown across the land.《阿斯卡特拉的莫寧蓋爾家族一直是城裡的典範，而他們為反對奴隸交易所做的努力也在各地贏得了美名。》~
@37721  = ~It also earned them many enemies. This past tenday has seen the family murdered in their homes, almost to the last. It would seem they were made examples of.《這也讓他們惹來了許多敵人。過去這十天這個家族的成員被人發現陳屍家中，幾乎一個不剩。似乎有人想要殺雞儆猴。》~
@37722  = ~Such a crime is unforgivable! I will lead an army down the throats of those responsible!《這種罪行無可饒恕！我將會率領部隊血刃那些下手的人！》~
@37723  = ~What is it you wish from me? Am I to deliver retribution?《你希望我怎麼做？我要去替天行道嗎？》~
@37724  = ~The time for justice will come, but what is important now is that someone survived, praise Helm. Tyrianna—she hid in a cellar while all others were executed.《正義終會降臨，但是眼前重要的是還有人倖存，感謝守護之神海姆。還活著的是提瑞安娜；當其他人遇害時她躲在地窖裡。》~
@37725  = ~She must be protected until escorted from the city. Her survival will be a symbol to persevere in the fight against slavery, despite the ferocity of the enemy.《在城市的守衛隊護衛她之前，她必須受到保護。如果她能活下來，儘管敵人殘暴，她將會是對抗奴役的象徵。》~
@37726  = ~She will not come to harm while in my care.《在我的照看之下她不會受傷害的。》~
@37727  = ~I would rather deal with these curs directly in a language they understand.《我寧可用這些壞蛋聽得懂的語言來和他們打交道。》~
@37728  = ~I am certain she will not. It would be a tragedy if she did, one that we would be hard-pressed to explain, so you will take great care in her well-being.《我確定她不會受到傷害。如果她有什麼不測，那會是一樁悲劇，所以你必須盡全力照料她的安危。》~
@37729  = ~You will get your chance, but you will do it with her safety in mind. Her loss would be a great tragedy, one that we would be hard-pressed to explain.《你會有機會的，不過你必須隨時考量她的安危。如果她有什麼不測將會是個令人難過的悲劇。》~
@37730  = ~You will go to a safe house we have set up, and you will make sure she remains secure. It is as secret as we could make it, though nothing is ever absolute.《你到一間我們佈置好的藏身之處去，確認她的安全。我們已經盡可能秘密行事，不過沒有什麼事情是絕對的。》~
@37731  = ~In the morning, her godparent will arrive. He is from Baldur's Gate and will accept no other guards besides his own. You will see that she reaches his care.《到了早晨的時候她的教父會抵達。他來自柏德之門，將會親自照料這名小女孩。你要負責將她交到他的手中。》~
@37732  = ~She will have nothing to worry about.《她可以放心。》~
@37733  = ~I will guard her and kill any that dare to pose a threat.《我會護衛著她，殺光所有膽敢威脅她的人。》~
@37734  = ~When she is *safe* with her godparent, you will have succeeded. Go to the building beside the temple in the docks and await him. She should be safe in his care.《將她*安全*交到她的教父手中時，你的任務便成功了。到碼頭區神殿旁邊的建築物裡面等候他。她在他的手中會很安全。》~
@37735  = ~You must see that Tyrianna Morningale is delivered to her godparent. Hurgis Baltezan will arrive tomorrow. The safe house is beside the temple in the docks.《你必須負責將提瑞安娜·莫寧蓋爾交到她的教父手中。霍吉斯·包爾提森明天將會抵達。藏身之處位於碼頭區的神殿旁邊。》~
